State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Bihar,ARARIA,1997,Whole Year ,Banana,386,11611
Bihar,ARARIA,1997,Whole Year ,Coriander,119,58
Bihar,ARARIA,1997,Whole Year ,Dry chillies,135,128
Bihar,ARARIA,1997,Whole Year ,Garlic,350,467
Bihar,ARARIA,1997,Whole Year ,Onion,343,1955
Bihar,ARARIA,1997,Whole Year ,Potato,3964,27739
Bihar,ARARIA,1997,Whole Year ,Ragi,1546,1333
Bihar,ARARIA,1997,Whole Year ,Sannhamp,8,3
Bihar,ARARIA,1997,Whole Year ,Sugarcane,162,7434
Bihar,ARARIA,1997,Whole Year ,Sweet potato,743,7344
Bihar,ARARIA,1997,Whole Year ,Turmeric,101,204
Bihar,ARARIA,1998,Whole Year ,Banana,381,6347
Bihar,ARARIA,1998,Whole Year ,Coriander,163,100
Bihar,ARARIA,1998,Whole Year ,Dry chillies,219,184
Bihar,ARARIA,1998,Whole Year ,Dry ginger,48,67
Bihar,ARARIA,1998,Whole Year ,Garlic,194,282
Bihar,ARARIA,1998,Whole Year ,Onion,451,4032
Bihar,ARARIA,1998,Whole Year ,Potato,4187,33232
Bihar,ARARIA,1998,Whole Year ,Sannhamp,10,5
Bihar,ARARIA,1998,Whole Year ,Sugarcane,77,3146
Bihar,ARARIA,1998,Whole Year ,Sweet potato,1143,12356
Bihar,ARARIA,1998,Whole Year ,Turmeric,88,141
Bihar,ARARIA,1999,Whole Year ,Banana,132,936
Bihar,ARARIA,1999,Whole Year ,Coriander,434,226
Bihar,ARARIA,1999,Whole Year ,Dry chillies,688,654
Bihar,ARARIA,1999,Whole Year ,Garlic,184,261
Bihar,ARARIA,1999,Whole Year ,Onion,1688,12626
Bihar,ARARIA,1999,Whole Year ,Potato,6790,50606
Bihar,ARARIA,1999,Whole Year ,Sugarcane,72,1820
Bihar,ARARIA,1999,Whole Year ,Sweet potato,703,9585
Bihar,ARARIA,1999,Whole Year ,Turmeric,98,193
Bihar,ARARIA,2000,Whole Year ,Banana,615,2491
Bihar,ARARIA,2000,Whole Year ,Coriander,123,58
Bihar,ARARIA,2000,Whole Year ,Dry chillies,173,111
Bihar,ARARIA,2000,Whole Year ,Garlic,201,248
Bihar,ARARIA,2000,Whole Year ,Onion,342,2712
Bihar,ARARIA,2000,Whole Year ,Potato,5569,44194
Bihar,ARARIA,2000,Whole Year ,Sugarcane,671,26118
Bihar,ARARIA,2000,Whole Year ,Sweet potato,182,2068
Bihar,ARARIA,2000,Whole Year ,Turmeric,162,157
Bihar,ARARIA,2001,Whole Year ,Banana,504,14329
Bihar,ARARIA,2001,Whole Year ,Coriander,106,59
Bihar,ARARIA,2001,Whole Year ,Dry chillies,177,168
Bihar,ARARIA,2001,Whole Year ,Garlic,191,280
Bihar,ARARIA,2001,Whole Year ,Onion,458,3792
Bihar,ARARIA,2001,Whole Year ,Potato,4447,35347
Bihar,ARARIA,2001,Whole Year ,Sugarcane,71,3289
Bihar,ARARIA,2001,Whole Year ,Sweet potato,632,7118
Bihar,ARARIA,2001,Whole Year ,Turmeric,157,306
Bihar,ARARIA,2002,Whole Year ,Banana,431,3741
Bihar,ARARIA,2002,Whole Year ,Coriander,80,49
Bihar,ARARIA,2002,Whole Year ,Dry chillies,267,179
Bihar,ARARIA,2002,Whole Year ,Dry ginger,60,89
Bihar,ARARIA,2002,Whole Year ,Garlic,246,363
Bihar,ARARIA,2002,Whole Year ,Onion,488,4138
Bihar,ARARIA,2002,Whole Year ,Potato,5887,63445
Bihar,ARARIA,2002,Whole Year ,Sannhamp,1289,916
Bihar,ARARIA,2002,Whole Year ,Sugarcane,173,7126
Bihar,ARARIA,2002,Whole Year ,Sweet potato,642,7932
Bihar,ARARIA,2002,Whole Year ,Turmeric,306,302
Bihar,ARARIA,2003,Whole Year ,Banana,516,4933
Bihar,ARARIA,2003,Whole Year ,Coriander,103,71
Bihar,ARARIA,2003,Whole Year ,Dry chillies,252,116
Bihar,ARARIA,2003,Whole Year ,Garlic,222,334
Bihar,ARARIA,2003,Whole Year ,Onion,468,3510
Bihar,ARARIA,2003,Whole Year ,Potato,5665,43615
Bihar,ARARIA,2003,Whole Year ,Sannhamp,1094,784
Bihar,ARARIA,2003,Whole Year ,Sugarcane,155,6153
